# Data-to-Model ratio
# LT[hr], Ratio, Date
0.1875 1.53941 Nov_2013
0.5625 1.04594 Nov_2013
0.9375 0.910008 Nov_2013
1.3125 1.1322 Nov_2013
1.6875 1.29171 Nov_2013
2.0625 1.08338 Nov_2013
2.4375 1.26242 Nov_2013
2.8125 1.22867 Nov_2013
3.1875 1.1327 Nov_2013
3.5625 1.09825 Nov_2013
3.9375 1.05399 Nov_2013
4.3125 0.895629 Nov_2013
4.6875 1.04445 Nov_2013
5.0625 0.944208 Nov_2013
5.4375 1.19939 Nov_2013
5.8125 0.972245 Nov_2013
6.1875 0.983009 Nov_2013
6.5625 1.05879 Nov_2013
6.9375 0.980186 Nov_2013
7.3125 1.1447 Nov_2013
7.6875 1.27483 Nov_2013
8.0625 1.25316 Nov_2013
8.4375 1.28961 Nov_2013
8.8125 1.28835 Nov_2013
9.1875 1.44682 Nov_2013
9.5625 1.46006 Nov_2013
9.9375 1.5923 Nov_2013
10.3125 1.64911 Nov_2013
10.6875 1.72632 Nov_2013
11.0625 1.79756 Nov_2013
0.1875 0.921387 Dec_2013
0.5625 1.0827 Dec_2013
0.9375 0.985807 Dec_2013
1.3125 1.21104 Dec_2013
1.6875 0.933068 Dec_2013
2.0625 1.0738 Dec_2013
2.4375 1.0814 Dec_2013
2.8125 1.2889 Dec_2013
3.1875 1.07495 Dec_2013
3.5625 1.06626 Dec_2013
3.9375 1.21594 Dec_2013
4.3125 1.04403 Dec_2013
4.6875 0.925003 Dec_2013
5.0625 0.990369 Dec_2013
5.4375 0.951825 Dec_2013
5.8125 0.942499 Dec_2013
6.1875 0.952744 Dec_2013
6.5625 1.04977 Dec_2013
6.9375 1.03843 Dec_2013
7.3125 1.02424 Dec_2013
7.6875 1.11006 Dec_2013
8.0625 1.33329 Dec_2013
8.4375 1.28789 Dec_2013
8.8125 1.37666 Dec_2013
9.1875 1.21764 Dec_2013
9.5625 1.30375 Dec_2013
9.9375 1.41044 Dec_2013
10.3125 1.33151 Dec_2013
10.6875 1.24865 Dec_2013
11.0625 1.14709 Dec_2013
0.1875 0.93804 Jan_2014
0.5625 0.907172 Jan_2014
0.9375 0.997528 Jan_2014
1.3125 1.02892 Jan_2014
1.6875 0.98141 Jan_2014
2.0625 0.880695 Jan_2014
2.4375 1.03979 Jan_2014
2.8125 0.907095 Jan_2014
3.1875 1.03894 Jan_2014
3.5625 0.904858 Jan_2014
3.9375 1.08871 Jan_2014
4.3125 0.930369 Jan_2014
4.6875 0.89303 Jan_2014
5.0625 0.912987 Jan_2014
5.4375 0.957346 Jan_2014
5.8125 0.990194 Jan_2014
6.1875 1.02602 Jan_2014
6.5625 1.04218 Jan_2014
6.9375 1.11263 Jan_2014
7.3125 1.04365 Jan_2014
7.6875 1.13542 Jan_2014
8.0625 1.19353 Jan_2014
8.4375 1.46536 Jan_2014
8.8125 1.35953 Jan_2014
9.1875 1.45632 Jan_2014
9.5625 1.51679 Jan_2014
9.9375 1.5255 Jan_2014
10.3125 1.57608 Jan_2014
10.6875 1.72235 Jan_2014
11.0625 1.83039 Jan_2014
0.1875 0.756376 Feb_2014
0.5625 0.875761 Feb_2014
0.9375 0.86578 Feb_2014
1.3125 0.794617 Feb_2014
1.6875 0.950419 Feb_2014
2.0625 0.936292 Feb_2014
2.4375 0.91068 Feb_2014
2.8125 1.04372 Feb_2014
3.1875 1.04741 Feb_2014
3.5625 1.00998 Feb_2014
3.9375 1.00724 Feb_2014
4.3125 0.926077 Feb_2014
4.6875 0.902404 Feb_2014
5.0625 0.944936 Feb_2014
5.4375 0.878933 Feb_2014
5.8125 0.928856 Feb_2014
6.1875 1.08028 Feb_2014
6.5625 1.02013 Feb_2014
6.9375 1.05182 Feb_2014
7.3125 1.1028 Feb_2014
7.6875 1.11611 Feb_2014
8.0625 1.11047 Feb_2014
8.4375 1.30078 Feb_2014
8.8125 1.36229 Feb_2014
9.1875 1.61614 Feb_2014
9.5625 1.41668 Feb_2014
9.9375 1.39493 Feb_2014
10.3125 1.4489 Feb_2014
10.6875 1.59524 Feb_2014
11.0625 1.43797 Feb_2014
0.1875 0.795344 Mar_2014
0.5625 0.914193 Mar_2014
0.9375 0.943754 Mar_2014
1.3125 0.91365 Mar_2014
1.6875 1.02314 Mar_2014
2.0625 1.0221 Mar_2014
2.4375 1.03071 Mar_2014
2.8125 1.09949 Mar_2014
3.1875 1.1032 Mar_2014
3.5625 1.13151 Mar_2014
3.9375 0.969802 Mar_2014
4.312 0.997385 Mar_2014
4.688 0.975293 Mar_2014
5.062 0.979646 Mar_2014
5.438 0.970959 Mar_2014
5.812 0.944865 Mar_2014
6.188 1.0148 Mar_2014
6.562 0.970807 Mar_2014
6.938 1.01534 Mar_2014
7.312 1.01179 Mar_2014
7.688 1.1076 Mar_2014
